created_at,hotspot_group_id,name,num_team,num_appts
2020-05-20,573b852eec8d8320e35a464a,MonBlasq Estética,2,0
2020-05-20,5b6a0c7be00cf2606611a701,Elegant Threading Salon,1,0
2020-05-20,5da10ebdc21f820f8963345e,Morty's Barbershop,1,0
2020-05-20,5e6949bac21f8285b1d515cd,"Cornerstone Health Partners,LLC",1,0
2020-05-20,5eb04607fc1ebc3429606d14,Lash On Wax Off,3,0
2020-05-19,5eb19f93fc1ebc01d734b82f,Keen Insight Energy,3,9
2020-05-18,5ebadf37fc1ebc5416e54193,En Pointe Hair Studio,3,3
2020-05-18,5ebc1ff49adef3795b504c61,KK's Castle,2,36
2020-05-15,5daa0c61c21f82cd70a06377,The Zen Zone,1,0
2020-05-15,5e3b625dc21f8267e61c4939,Goodwin Chiropractic LLC,2,2
2020-05-15,5e9f60e09adef39d3fe778d7,My Car Care Connection,2,0
2020-05-15,5eb5cba79adef38f99cd461b,Fisherman’s Mobile RV Repair,5,0
2020-05-14,5ebad505fc1ebc4043808f82,Fat Alberts,4,0
2020-05-13,5c7864fce00cf21c776566db,Images By Vincenzo,1,0
2020-05-13,5d3b776374cae9216822ad38,French Pastry Cafe & More,2,0
2020-05-13,5e62cfd39adef3ba14d44574,Amanda  Horton,3,0
2020-05-13,5e680ead9adef3f503399ec7,Mountaineere Designs WV INC,2,0
2020-05-13,5eb2f0ce9adef361452b9a7a,Moler Barber School of Saint Paul LLC,1,0
2020-05-13,5eb5e6ff9adef3e95bf9b802,RockIt Studio,4,12
2020-05-12,5e2755089adef3baf52acfb2,Storey Automotive,2,0
2020-05-12,5eb0805dfc1ebc49aa4e9f0b,Pink mink luxury,2,0
2020-05-12,5eb19378fc1ebc77c12fbbc8,Mae Robinson Cleaning LLC,2,0
2020-05-12,5eb3185f9adef3cfb1722ccd,Catch the Fade,2,0
2020-05-11,5e1677ab9adef381df75f41d,ANDY'S CUSTOM UPHOLSTERY,3,0
2020-05-08,5d7fc83174cae91a83be8e7f,Village Hair Salon,4,4
2020-05-08,5dcc3957c21f8283798ef544,Usha's Eyebrow Threading & Spa,3,294
2020-05-08,5e3222759adef3ddbaf4c1e7,Central Texas Beauty College,24,96
2020-05-07,5e0a79e09adef30f265498f0,Opti Connections,3,21
2020-05-06,5c6eff6fe00cf22014451704,Kreuser Gallery LLC,1,0
2020-05-06,5e28ccccc21f829bd1612ddb,Flowers of Honor,1,0
2020-05-06,5e95e4bcfc1ebc6fdc53e21d,Life Long Appliance,2,2
2020-05-06,5ea9f2799adef3dcaba66504,Midwest Chiropractic Center,1,0
2020-05-06,5eb1ef15fc1ebc1d7f946bae,Radiant Brilliance,3,0
2020-05-05,5d602a2c74cae9385da3b870,Bannon Tile Distributors Inc.,2,0
2020-05-05,5e67d83cc21f82384781649b,Hair By Dominique,2,4
2020-05-05,5e84cf9d9adef398b15c58f0,The Lash Lounge,2,0
2020-05-05,5ea9b040fc1ebc2536009cc4,Customized Looks!,6,18
2020-05-04,5e3223b5c21f82907a712b6d,Central Texas Beauty College,9,45
2020-05-04,5e4dc703c21f82e306b96398,Cross Edge Martial Arts,2,2
2020-05-04,5ea329e89adef379ce446e52,Wren & Ivy Salon Co,11,99
2020-05-04,5ea89a7afc1ebc7edcffde29,RADIANT WELLNESS CENTER,3,0
2020-05-03,5ea72af3fc1ebc35b7d6da86,Vibes Nails and Lotion Bar,12,2508
2020-05-01,5c01e572e00cf217e7f1bb57,HP Nails,2,0
2020-05-01,5c81eceee00cf219f56d1b3e,Mini's New Prod Merchant,4,0
2020-05-01,5e7b86c5c21f8274a5b1a32f,Chestnut Hardware,1,0
2020-05-01,5e9645fbfc1ebc019ec4ac3a,Emergency Chiropractic,2,22
2020-04-30,5e73db669adef34cec5a603c,Elite Academy,1,1
2020-04-30,5e94a3cafc1ebc3b0b3edd35,Mai QA Test2,4,20
2020-04-29,5c34fa28e00cf2292556461b,Tappan Zee Barber Shop LLC,2,0
2020-04-28,5e66b3e99adef366639939bb,El Capitan Taqueria,2,0
2020-04-28,5e6fa6d5c21f8277d9a342a3,Grips Ink Art Collective,3,0
2020-04-27,5d8168f174cae93765e45b91,InsideOut,3,0
2020-04-27,5df184b59adef3a13f14b6d8,San Diego Myofascial Release,5,980
2020-04-27,5e45bbcf9adef3bc0ce89a9c,Little Rockets Academy,4,36
2020-04-27,5e948858fc1ebc3627715465,BeautyByLonda,2,0
2020-04-26,5ea0dc769adef3e3507cb0c8,The Painted Pallet,6,372
2020-04-23,5d4471bc74cae91d804adb3f,Eclectic CO.,1,40
2020-04-23,5e99f323fc1ebc24fc084260,Donald Robertson Insurance Agency LLC,3,0
2020-04-23,5e9f332afc1ebc386f9cc8a7,Pretty Loud Inc,3,0
2020-04-22,5c9950a8e00cf236c1ec485d,CLEAN EARTH SOAP,3,0
2020-04-22,5cf1c62ae00cf27f35e65d2f,Chattering Squirrel Coffee Cafe,2,0
2020-04-22,5e67e364c21f8243a76c71b0,Elite Class Automotive,1,0
2020-04-22,5e9f83479adef31e16773974,Positively Whole Health,2,0
2020-04-21,5d656eee74cae962dff22da6,Phoenix DJ,1,0
2020-04-21,5e986a4efc1ebc5dade80ef9,ReStart,3,0
2020-04-21,5e9a2a54fc1ebc324c496fa0,Big Band Catering,6,12
2020-04-20,4f99c830f92ea13a650813b1,IV Bagel Cafe,16,0
2020-04-20,5e961c09fc1ebc54d1e22961,DFW Auto Spa,3,0
2020-04-20,5e9dfeda9adef3a6e2ae5de5,Muse Beautique,2,248
2020-04-18,5e596330c21f82e19a17fc13,Green Turtle Salon & Spa,3,0
2020-04-18,5e94b9ff9adef331e2c9cc48,Screamery Creamery,3,0
2020-04-17,5e839539c21f8205671f2621,CCR Shop,1,0
2020-04-17,5e8cc0219adef3ea4ddb61bc,Bella Luce LTD,1,0
2020-04-17,5e8e4d4d9adef38d0d181b80,Your Salon,11,330
2020-04-16,5e8e45fe9adef38d0d181a9e,Solar Panel FL CORP,4,0
2020-04-16,5e8f893b9adef35404ba2a18,Nails by Synovia,1,0
2020-04-15,5e603271c21f82fcb88c2cbc,Alfredo's Auto Service,3,24
2020-04-15,5e8df23a9adef36cf918760d,Revolutionary Fit,7,119
2020-04-14,5dc480a29adef3acca14eb5d,Bryce's Body Shop,2,0
2020-04-14,5e3471d5c21f8220d5ab58ce,Urban Sports Therapy,1,0
2020-04-14,5e6ad07c9adef3cf4b228092,Adela's Lash Studio,4,188
2020-04-13,5e6820569adef34a2c5e1f2c,Usherwood + Co.,2,0
2020-04-12,5cf6e623e00cf27721e6597d,Sudflo Softwash,1,0
2020-04-09,57445a8c9d29c905128e7086,Stilisimo Parque Lindavista,2,0
2020-04-09,5c0c47b8e00cf223b2e359cb,Vincent & Company,2,0
2020-04-09,5e8ceb629adef364633d43bf,Soulful Tastings,1,0
2020-04-08,5bb5000de00cf202fa6fcdaa,Fingers of Faith Hair Salon,2,40
2020-04-08,5d12b095e00cf2360de0fd96,Noah Levay Salon,3,0
2020-04-08,5d939eacc21f82a7648da084,Magdalenas Beauty Salon and Spa,2,0
2020-04-07,5e1f8c89c21f82c2fa530e07,C&R Bookkeeping & Tax Services,1,0
2020-04-03,5e5d54999adef315552604c6,Vitality Wellness Spa,8,24
2020-04-03,5e7a2eccc21f8240c2132eac,BON BON SALON,4,12
2020-04-02,5ce34e81e00cf213713fd0cd,NijaDonabella Salon,3,0
2020-04-01,5d8a9c7d74cae9126c49f9fa,Shear Obsession 2,3,0
2020-04-01,5e711b729adef35c463f238c,SM Brown Financial,1,0
2020-04-01,5e727e309adef37e70bd742d,Rock Solid Services,4,0
2020-04-01,5e750f16c21f829a494c064a,Rossy's Bookkeeping & Tax Services,5,35
2020-04-01,5e7d04e4a74b6d0e56685a97,"C.R. Kurtz, Inc.",8,8
